Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,полная занятость,частичная занятость,проектная работа,стажировка,волонтерство,гибкий график,полный день,сменный график,вахтовый метод,удаленная работа,ЗП (руб)
Специалист по IT,Билайн,Специалист по продажам,22.04.2019 18:44,Не указано,среднее специальное,М,21,6.0,город-миллионник,True,True,True,False,False,False,False,True,True,True,False,False,35000
Ведущий специалист по интернет-маркетингу,ООО «МИТПАРТНЕРС»,Ведущий менеджер по продажам,07.05.2019 15:12,Не указано,высшее,М,25,24.0,город-миллионник,True,True,True,True,True,True,True,True,True,True,True,True,350000
Младший инженер по строительству фиксированной связи,"НТО ""ICS""",Монтажник слаботочных систем,16.04.2019 18:54,Не указано,высшее,Ж,28,17.0,Санкт-Петербург,False,True,True,False,False,False,False,False,True,False,False,False,45000
Тестировщик,нет,нет,14.05.2019 12:30,Не указано,высшее,Ж,23,1.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,15000
Системный администратор,КАН-Авто,Системный администратор,10.04.2019 14:41,Имеется собственный автомобиль,среднее специальное,М,21,13.0,город-миллионник,False,False,False,True,False,False,False,False,True,False,False,False,35000
Специалист по IT,ООО «Мобиленд»,Продавец консультант,17.04.2019 00:52,Не указано,среднее специальное,М,22,10.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,45000
Аналитик данных,Гобозов Т.Х.,Системный администратор,07.05.2019 14:01,Не указано,высшее,М,23,14.0,Москва,True,True,True,False,False,False,False,True,True,True,False,False,50000
"SMM-менеджер, CММ, контент-менеджер","Калина-Бел, ООО",Специалист отдела маркетинга,22.04.2019 09:49,Не указано,неоконченное высшее,Ж,21,9.0,другие,False,False,False,True,True,False,False,False,False,False,False,True,6396
Стажер-разработчик QT/C++,ООО ВИТ,Программист С++/Qt (практикант),11.04.2019 13:07,Не указано,неоконченное высшее,М,20,4.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,25000
"Отделочник, охранник",ООО Холод,Сыросол,10.04.2019 12:10,Не указано,среднее специальное,М,22,18.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30009
Технический специалист,"Такском, ООО",Инженер технической поддержки,13.04.2019 14:28,Имеется собственный автомобиль,неоконченное высшее,М,21,19.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,50000
Project Manager,Альтера,Менеджер web-проектов,18.04.2019 23:42,Имеется собственный автомобиль,среднее специальное,М,23,12.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,80000
Младший тестировщик ПО,"ИА Тендерлэнд, ООО",Тестировщик,14.05.2019 16:16,Не указано,высшее,М,25,22.0,Москва,False,False,True,False,False,False,False,True,True,False,False,False,45000
Мастер-приёмщик,Скупкатут.рф,"Мастер-приемщик, продавец консультант.",15.04.2019 22:44,Не указано,среднее специальное,М,22,8.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,30000
Системный администратор,Ростелеком,Менеджер отдела телемаркетинга,18.04.2019 08:40,Не указано,высшее,М,22,19.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,30000
